--RECOMENDADOR BASADO EN CONOCIMIENTO--
ANALISIS DE CADA DOCUMENTO
Documento 0

N.  Termino              TF         IDF        TF-IDF    
18  fruits               1.0        1.0        1.0       
19  smoldering           1.0        1.0        1.0       
20  meaty                1.0        1.0        1.0       
21  hot                  1.0        1.0        1.0       
--------------------------------------------------------

Documento 7

N.  Termino              TF         IDF        TF-IDF    

1   tannic               1.0        0.699      0.699     
2   dominate             1.0        0.699      0.699     
3   aromas               1.301      0.155      0.202     
4   carry                1.0        0.699      0.699     
5   finish               1.0        0.398      0.398     
6   flavors              1.0        0.523      0.523     
7   desiccated           1.0        1.0        1.0       
8   blackberry           1.301      0.699      0.909     
9   leather              1.0        1.0        1.0       
10  charred              1.0        1.0        1.0       
11  wood                 1.0        1.0        1.0       
12  mint                 1.0        1.0        1.0       
13  nose                 1.0        0.699      0.699     
14  fullbodied           1.0        1.0        1.0       
15  heavily              1.0        1.0        1.0       
16  oaked                1.0        1.0        1.0       
17  tinto                1.0        1.0        1.0       
18  fino                 1.0        1.0        1.0       
19  clove                1.0        1.0        1.0       
20  woodspice            1.0        1.0        1.0       
21  top                  1.0        1.0        1.0       
22  fruit                1.0        0.699      0.699     
23  hickory              1.0        1.0        1.0       
24  forceful             1.0        1.0        1.0       
25  oakbased             1.0        1.0        1.0       
26  rise                 1.0        1.0        1.0       
--------------------------------------------------------

Documento 8

N.  Termino              TF         IDF        TF-IDF    

1   pepper               1.0        0.523      0.523     
2   slightly             1.0        0.699      0.699     
3   cherry               1.0        0.699      0.699     
4   cigar                1.0        0.699      0.699     
5   box                  1.0        0.699      0.699     
6   aromas               1.0        0.155      0.155     
7   palate               1.0        0.301      0.301     
8   plum                 1.0        0.398      0.398     
9   approachable         1.0        0.699      0.699     
10  note                 1.301      0.301      0.392     
11  nose                 1.0        0.699      0.699     
12  fruit                1.0        0.699      0.699     
13  pervade              1.0        1.0        1.0       
14  menthol              1.0        1.0        1.0       
15  ride                 1.0        1.0        1.0       
16  restrain             1.0        1.0        1.0       
17  entry                1.0        1.0        1.0       
18  open                 1.0        1.0        1.0       
19  riper                1.0        1.0        1.0       
20  specked              1.0        1.0        1.0       
21  crushed              1.0        1.0        1.0       
22  blend                1.0        1.0        1.0       
23  merlot               1.0        1.0        1.0       
24  cabernet             1.301      0.699      0.909     
25  sauvignon            1.0        1.0        1.0       
26  franc                1.0        1.0        1.0       
27  enjoy                1.0        1.0        1.0       
--------------------------------------------------------

Documento 9

N.  Termino              TF         IDF        TF-IDF    

1   pepper               1.0        0.523      0.523     
2   offer                1.0        0.699      0.699     
3   black                1.0        0.699      0.699     
4   oakdriven            1.0        0.699      0.699     
5   aromas               1.0        0.155      0.155     
6   vanilla              1.0        0.699      0.699     
7   palate               1.0        0.301      0.301     
8   tart                 1.0        0.699      0.699     
9   ripe                 1.0        0.699      0.699     
10  note                 1.301      0.301      0.392     
11  tobacco              1.0        0.699      0.699     
12  dark                 1.0        1.0        1.0       
13  berries              1.0        1.0        1.0       
14  mingle               1.0        1.0        1.0       
15  toasted              1.0        1.0        1.0       
16  dusty                1.0        1.0        1.0       
17  nature               1.0        1.0        1.0       
18  currant              1.0        1.0        1.0       
19  shine                1.0        1.0        1.0       
20  bite                 1.0        1.0        1.0       
21  levity               1.0        1.0        1.0       


MATRIZ DE SIMILITUD
       0      1      2      3      4      5      6      7      8      9
0  1.000  0.017  0.000  0.012  0.035  0.000  0.034  0.000  0.018  0.021
1  0.017  1.000  0.007  0.009  0.000  0.006  0.045  0.032  0.134  0.078
2  0.000  0.007  1.000  0.000  0.006  0.033  0.020  0.070  0.017  0.080
3  0.012  0.009  0.000  1.000  0.025  0.032  0.024  0.012  0.022  0.052
4  0.035  0.000  0.006  0.025  1.000  0.005  0.000  0.000  0.012  0.014
5  0.000  0.006  0.033  0.032  0.005  1.000  0.041  0.021  0.016  0.034
6  0.034  0.045  0.020  0.024  0.000  0.041  1.000  0.010  0.001  0.002
7  0.000  0.032  0.070  0.012  0.000  0.021  0.010  1.000  0.051  0.002
8  0.018  0.134  0.017  0.022  0.012  0.016  0.001  0.051  1.000  0.033
9  0.021  0.078  0.080  0.052  0.014  0.034  0.002  0.002  0.033  1.000
